Node;Betweeness Centrality
PZB-TSN670-ARC-CACWL;0.0
PZB-TSN267-SAEON-GWFN;0.0
PTA-GREYS2-TSN660-NSF-NDI;0.0
LAB-PTA-MX10K;0.0
PTA-TSN397-ARCPPRI;0.0
POL1-PE1;0.03152022315202232
NLP-TSN344-UMP-DC2-PE;0.0
RSB1-PE1;0.007787905957362025
PTA-GREYS3-TSN259-SAWS;0.0
WIT-TSN160-TUT-WIT-PE;0.0
PTA-GREYS2-TSN409-TUT-SKINNER-PE;0.0
CPT-GREYSLB1-TSN103-CSIR;0.0
JNB-NHLS-TSN677-SAND;0.0
JNB-TSN76-UNISA-FLORIDA-PE;0.0006994734112934947
JNB-TSN251-GIBS;0.00798465829846583
JNB-TSN949-GIBS-NORTH;0.0
JNB-GREY2-TSN171-UJSO;0.0014279487945805939
UTT-TSN362-WSU-MHRC;0.0
UTT-TSN189-UNISA-MTH;0.0
AMS1-IR1-AMS1-PR1;0.0
POL-GREY1-TSN56-TUT-POLC;0.02384937238493724
POL-GREY1-TSN309-UNISA-PHUB;0.0
POL-GREY1-TSN313-UL-POLH;0.0
POL-GREY1-TSN194-UNISA-PLIB;0.0
