Node;Core Influences
CPT-GREYSS2-TSN270-UCTGSR;0.04245719950721366
TENET-TSN118-AIMS;0.04245719950721365
HMS-TSN28-SANSA;0.04245719950721363
DBN-GREY1-TSN497-CAPRISA-DDMRI;0.04245719950721362
RCB-TSN116-UZ-RCB-PE;0.04245719950721362
ELS-GREY1-TSN108-WSU-CHS;0.042457199507213605
CPT-GREYSS2-TSN170-UCTSSI;0.04245719950721359
RCB1-PE1;0.042457199507213585
JNB-GREY-TSN284-WITS-HJH;0.042457199507213564
JNB-GREY-TSN285-WITS-RMH;0.04245719950721356
CPT4-PE1;0.042457199507213536
TERACO-TSN462-RDB;0.042457199507213536
ELS-GREY1-TSN393-WSU-CAM;0.042457199507213536
ZEE1-OR1;0.042457199507213536
ELS-GREY1-TSN177-UNISAE;0.04245719950721353
UTE-TSN12-WSU-B-PE;0.04245719950721352
PTD-TSN216-WSU-PTD-PE;0.042457199507213494
SDT-TSN535-UCT-GSB;0.04245719950721349
DUR-TSN19-MUT;0.04245719950721349
DBN-GREY1-TSN13-CAO;0.042457199507213474
DBN-GREY1-TSN375-SANBI;0.04245719950721347
KIM-TSN345-SPU-NC-PE;0.04245719950721347
CPT-TSN793-NSFAS-CBD;0.04245719950721345
KIM-TSN760-SPUC;0.04245719950721345
JNB-NHLS-TSN677-SAND;0.042457199507213446
CPT-GREYCBD2-TSN109-SANAP;0.04245719950721344
DBN-GREY1-TSN11-DUTS;0.04245719950721343
JNB-TSN949-GIBS-NORTH;0.04245719950721343
DBN-GREY1-TSN231-UKZNW-PE;0.042457199507213425
CPT-GREYCBD2-TSN215-HSRCCPT;0.04245719950721339
JNB-TSN251-GIBS;0.04245719950721338
HLA1-TSN294-NECSA-1;0.04245719950721337
CPT-GREYCBD2-TSN143-CPUTGB;0.04245719950721334
JNB-GREY2-TSN171-UJSO;0.04245719950721331
ALC-TSN64-UFHA;0.04245719950721329
RCB-TSN596-WRLHS-ALTSO;0.04245719950721328
GRH1-PE2;0.04245719950721328
UTW-TSN468-WSUQ;0.04245719950721326
VDP-GREY2-TSN484-DFA-VDBP;0.04245719950721325
MFK1-PE1;0.04245719950721322
WTS-TSN467-WSUW;0.0424571995072132
VDP-GREY2-TSN598-VUT-EMF;0.0424571995072132
VDP-GREY2-TSN139-NWUFAR;0.04245719950721315
PTA-TSN377-ARC-IRENE-PE;0.04245719950721314
POL-GREY1-TSN309-UNISA-PHUB;0.0424571995072131
PTA-GREYS3-TSN259-SAWS;0.04245719950721302
POL-GREY1-TSN313-UL-POLH;0.04245719950721302
TLP-TSN83-UL-TLP-PE;0.04245719950721299
RSB1-PE1;0.042457199507212905
CPT-TENET-LAB-ALU-2;0.042457199507212905
CPT-TENET-LAB-ALU-1;0.04245719950721287
PTA-GREYN2-TSN141-UPGC;0.042457199507212835
NLP-TSN946-UMP-DC1-PE;0.04245719950721279
PTA-GREYS3-TSN250-TIAMHO;0.042457199507212745
PTA4-PE1;0.04245719950721273
PTA3-PE1;0.04245719950721271
WIT-TSN160-TUT-WIT-PE;0.042457199507212696
PTA-GREYN2-TSN395-TUT-ZET;0.04245719950721256
NLP1-PE1;0.04245719950721255
PTA-GREYS3-TSN8-CHE;0.04245719950721249
