Node;Core Strengths
CPT-GREYBEL1-TSN147-CPUTT;2
CPT-GREYCBD1-TSN24-NLSA;2
CPT-GREYCBD1-TSN18-IZMU;2
CPT-GREYCBD2-TSN164-UCTBS;2
CPT-GREYCBD1-TSN4-CPUTCPT;2
CPT-GREYCBD1-TSN163-UCT-HID;2
CPT-GREYSS2-TSN271-UCTRBG;2
JNB5-TSN249;2
NC-SKA-TSN238-KLE;2
LOS-TSN239-SKA-LOS-PE;2
KLE-TSN238-SKA-KLE-PE;2
LAB-PTA-MX10K;2
NLP-TSN344-UMP-DC2-PE;2
PTA-GREYS2-TSN409-TUT-SKINNER-PE;2
JNB-TSN76-UNISA-FLORIDA-PE;2
POL-GREY1-TSN194-UNISA-PLIB;2
LAB-PTA-IXR;2
JNB-TSN199-UNISA-SBL-PE;2
CPT-GREYSS2-TSN165-UCTLGR;2
LAB-MX204-JNB1;2
PTA-GREYS2-TSN263-MRC-MC-PE;2
JNB-GREY2-TSN42-UJBU;3
JNB2-PE1;3
UTT-TSN86-WSU-NMD-PE;3
PLZ1-PE1;3
CAR-TSN237-SKA-CAR-PE;3
CPT9-PE1;3
CPT-GREYSS2-TSN236-SARAO-PE;3
PTA-TSN455-SITA-CENT-PE;3
THY-TSN87-UNIVEN-MC-PE;3
CPT-GREYSS1-TSN169-UCTRHR;3
CPT5-PE1;3
POL-GREY1-TSN56-TUT-POLC;3
CPT-GREYBEL1-TSN207-USBS-PE;3
CPT1-IR1;4
VDP1-PE1;4
CPT3-PE1;4
DUR3-PE1;4
BFN3-PE1;4
ELS2-PE1;4
PTA-GREYN1-TSN74-UP-MED-PE;4
BIY-TSN65-UFH-BHISHO-PE;4
CPT-GREYBEL1-TSN22-MRCCPT-PE;4
CPT6-PE1;4
POL1-PE1;4
JNB3-PE1;5
PZB1-PE1;5
ZEH1-PE1;5
MTZ1-IR1;5
ISD1-PE1;6
DUR1-PE1;6
DUR2-PE1;6
JNB1-PE1;6
CPT2-PE1;10
