Source;Taregt
CPT-GREYBEL1-TSN585-UWC-FCHS;CPT-GREYBEL1-TSN207-USBS-PE
DBN-GREY1-TSN375-SANBI;DBN-GREY1-TSN11-DUTS
DBN-GREY1-TSN375-SANBI;DUR1-PE1
DBN-GREY1-TSN11-DUTS;DBN-GREY1-TSN222-TIA-PWC
DUR1-PE1;MTZ1-IR1
DUR1-PE1;DUR2-PE1
DUR1-PE1;DBN-GREY1-TSN222-TIA-PWC
DUR1-PE1;DBN-TSN935-DHA-UMGENI
DBN-GREY1-TSN150-DUTB;DBN-GREY1-TSN132-MRC
DBN-GREY1-TSN150-DUTB;DBN-GREY1-TSN222-TIA-PWC
DBN-GREY1-TSN132-MRC;DBN-GREY1-TSN662-CAPRISA-KDH
DBN-GREY1-TSN13-CAO;DUR2-PE1
DBN-GREY1-TSN13-CAO;DBN-GREY1-TSN366-UKZNE-PE
DUR2-PE1;DBN-GREY1-TSN97-CSIR
DUR2-PE1;DUR-TSN19-MUT
DUR2-PE1;DBN-GREY1-TSN366-UKZNE-PE
DBN-GREY1-TSN366-UKZNE-PE;DBN-GREY1-TSN231-UKZNW-PE
ZEE1-OR1;ZEH1-PE1
ZEH1-PE1;KIM-TSN345-SPU-NC-PE
ZEH1-PE1;MFK1-PE1
ZEH1-PE1;ZEH-TSN938-DHA-POTCH
RCB-TSN596-WRLHS-ALTSO;RCB-TSN20-AHRI-SOM-1
RCB-TSN596-WRLHS-ALTSO;RCB-TSN116-UZ-RCB-PE
RCB-TSN116-UZ-RCB-PE;RCB1-PE1
CPT-GREYSLB1-TSN292-ARCINFR;CPT-GREYSLB1-TSN79-SUN
CPT-GREYSLB1-TSN79-SUN;CPT6-PE1
CPT-GREYSLB1-TSN79-SUN;CPT5-PE1
CPT-GREYSLB1-TSN79-SUN;CPT-GREYSLB1-TSN103-CSIR
PTD-TSN216-WSU-PTD-PE;BIY-TSN65-UFH-BHISHO-PE
BIY-TSN65-UFH-BHISHO-PE;ALC-TSN64-UFHA
BIY-TSN65-UFH-BHISHO-PE;GRH1-PE2
PTA-GREYS3-TSN250-TIAMHO;PTA-GREYS3-TSN403-ASSAF
PTA-GREYS3-TSN250-TIAMHO;PTA-TSN455-SITA-CENT-PE
PTA-GREYS3-TSN403-ASSAF;PTA-GREYS3-TSN8-CHE
PTA-TSN455-SITA-CENT-PE;PTA2-PE1
PTA-TSN455-SITA-CENT-PE;PTA-GREYS3-TSN259-SAWS
PTA-TSN455-SITA-CENT-PE;PTA-TSN377-ARC-IRENE-PE
LCD-TSN186-UNISAM;THY-TSN87-UNIVEN-MC-PE
THY-TSN87-UNIVEN-MC-PE;THY-TSN87-UNIVEN-SSB
ALC-TSN64-UFHA;GRH1-PE1
GRH1-PE1;GRH1-PE2
MFK-TSN32-NWUM;MFK1-PE1
MFK1-PE1;RSB1-PE1
