Node;Core Number;Core Strength;Core Influence
RCB1-PE1;2;1;0.042457199507213585
AMS1-IR1-AMS1-PR2;3;1;0.06368579926082014
ISD1-PE1-ISD1-RR1;1;1;0.021228599753606716
LDN1-IR1-LDN1-PR1;1;1;0.021228599753606883
LDN1-IR1-LDN1-PR2;3;1;0.06368579926082027
DUR-TSN19-MUT;2;1;0.04245719950721349
BFN-GREY1-TSN173-UNISAB;1;1;0.021228599753606754
KIM-TSN760-SPUC;2;1;0.04245719950721345
PZB-TSN534-HSRC-SW;1;1;0.02122859975360681
PZB-TSN670-ARC-CACWL;1;1;0.02122859975360684
PZB-TSN267-SAEON-GWFN;1;1;0.02122859975360683
PTA-GREYS2-TSN660-NSF-NDI;2;1;0.042457199507216346
LAB-PTA-MX10K;3;2;0.08491439901442178
PTA-TSN397-ARCPPRI;1;1;0.021228599753606178
POL1-PE1;2;4;0.10614299876803232
NLP-TSN344-UMP-DC2-PE;2;2;0.06368579926081887
RSB1-PE1;2;1;0.042457199507212905
PTA-GREYS3-TSN259-SAWS;2;1;0.04245719950721302
WIT-TSN160-TUT-WIT-PE;2;1;0.042457199507212696
PTA-GREYS2-TSN409-TUT-SKINNER-PE;2;2;0.06368579926082543
CPT-GREYSLB1-TSN103-CSIR;1;1;0.021228599753608447
JNB-NHLS-TSN677-SAND;2;1;0.042457199507213446
JNB-TSN76-UNISA-FLORIDA-PE;2;2;0.06368579926082003
JNB-TSN251-GIBS;2;1;0.04245719950721338
JNB-TSN949-GIBS-NORTH;2;1;0.04245719950721343
JNB-GREY2-TSN171-UJSO;2;1;0.04245719950721331
UTT-TSN362-WSU-MHRC;1;1;0.021228599753606744
UTT-TSN189-UNISA-MTH;1;1;0.021228599753606775
AMS1-IR1-AMS1-PR1;1;1;0.02122859975360688
POL-GREY1-TSN56-TUT-POLC;2;3;0.0849143990144261
POL-GREY1-TSN309-UNISA-PHUB;2;1;0.0424571995072131
POL-GREY1-TSN313-UL-POLH;2;1;0.04245719950721302
POL-GREY1-TSN194-UNISA-PLIB;2;2;0.06368579926081958
LAB-PTA-SAST;3;1;0.06368579926081569
LAB-PTA-IXR;3;2;0.08491439901442101
LAB-PTA-MX204;3;1;0.06368579926081579
JNB-GREY2-TSN659-WITS-CLMDC;2;1;0.04245719950721383
HLA1-TSN294-NECSA-1;2;1;0.04245719950721337
CPT-GREYBEL1-TSN207-USBS-PE;2;3;0.0849143990144347
JNB-GREY-TSN285-WITS-RMH;2;1;0.04245719950721356
JNB-GREY-TSN284-WITS-HJH;2;1;0.042457199507213564
ISD1-PE2-ISD1-PR3;1;1;0.021228599753606733
JNB-TSN199-UNISA-SBL-PE;2;2;0.06368579926082013
JNB-GREY1-TSN690-NHLS-BRAAM;2;1;0.042457199507213876
CPT-GREYSS2-TSN788-UCTSHAW;2;1;0.04245719950721373
CPT-GREYSS2-TSN165-UCTLGR;2;2;0.06368579926082046
CPT1-IR1-CPT1-PR1;1;1;0.021228599753606643
CPT1-IR1-CPT1-RR1;1;1;0.021228599753606678
CPT1-LG1;1;1;0.021228599753606643
DUR3-PE1-DUR3-PR1;1;1;0.021228599753606737
DBN-GREY1-TSN231-UKZNW-PE;2;1;0.042457199507213425
NLP1-PE1;2;1;0.04245719950721255
NLP-TSN537-ARC-ITSC;1;1;0.02122859975360614
DBN-TSN935-DHA-UMGENI;1;1;0.021228599753606758
TLP-TSN83-UL-TLP-PE;2;1;0.04245719950721299
UTT-TSN363-WSU-ZAM;1;1;0.02122859975360679
PTA-TSN940-DHA-SOSH;1;1;0.021228599753613943
CPT-TENET-LAB-ALU-2;2;1;0.042457199507212905
LAB-MX204-JNB1;2;2;0.06368579926081967
THY-TSN87-UNIVEN-SSB;1;1;0.021228599753606473
PTA-GREYN1-TSN399-TUT-ZAR;2;1;0.04245719950723945
PTA-GREYS2-TSN355-TUT-LEGAE;2;1;0.04245719950722114
PTA-GREYS2-TSN16-HSRC-MC;2;1;0.04245719950722503
PTA-GREYS2-TSN262-ARCISCW;2;1;0.04245719950723858
PTA-GREYS2-TSN300-DAFF;2;1;0.04245719950723859
PTA-GREYS2-TSN263-MRC-MC-PE;2;2;0.06368579926085713
PTA-GREYN1-TSN27-NLSA-PTA;2;1;0.042457199507241215
NLP-TSN946-UMP-DC1-PE;2;1;0.04245719950721279
PTA-TSN377-ARC-IRENE-PE;2;1;0.04245719950721314
CPT-TENET-LAB-ALU-1;2;1;0.04245719950721287
LAB-PTA-SAS-SX;3;1;0.06368579926081566
CPT9-PE2;1;1;0.021228599753606737
